Tweets,Hashtags,Retweets,word_count,Compound Score,Sentiment
Wow! Blockbuster testimony taking place right now in Georgia. Ballot stuffing by Dems when Republicans were forced… https://t.co/0T6WxfnKgC,[],55836,18,0.8398,Positive
RT @TeamTrump: WATCH: Video footage from Georgia shows suitcases filled with ballots pulled from under a table AFTER supervisors told poll…,[],54035,21,0.0,Neutral
"RT @TeamTrump: Video footage from Georgia shows that poll workers were told to stop counting and leave, while 4 people stayed behind to con…",[],22467,24,-0.34,Negative
Thank you to Representative Mo Brooks!,[],21746,6,0.4199,Positive
Georgia hearings now on @OANN. Amazing!,[],27396,6,0.6239,Positive
"The “Republican” Governor of Georgia, @BrianKempGA, and the Secretary of State, MUST immediately allow a signature… https://t.co/5eWda89DYQ",[],38257,17,0.2263,Positive
Looks like certain Republican Senators are getting cold feet with respect to the termination of Big Tech’s Section… https://t.co/dixY1qnSHK,[],44987,19,0.7717,Positive
https://t.co/tZSLBlrlTv,[],60766,1,0.0,Neutral
https://t.co/YEBGzS1OB3,[],31349,1,0.0,Neutral
https://t.co/VDJRAW94ki,[],30715,1,0.0,Neutral
https://t.co/6RcWjBtkoF,[],23675,1,0.0,Neutral
https://t.co/s1PiR5LBlt,[],22272,1,0.0,Neutral
https://t.co/JONLHVoEwQ,[],19570,1,0.0,Neutral
https://t.co/DVDyvbGIKz,[],42880,1,0.0,Neutral
"In Arizona, it turns out that 3% of the votes cast in the 100 count vote sampling were tainted or worse. This would… https://t.co/fzomj3tmn0",[],60755,24,-0.4767,Negative
RT @RSBNetwork: Watch Live: @RudyGiuliani Appears Before Michigan House Oversight Committee https://t.co/CJijbiww17,[],16733,12,0.0,Neutral
HAPPENING NOW! @OANN https://t.co/JPWQNISItN,[],19406,4,0.0,Neutral
"RT @AZGOP: In today's update, Chairwoman @kelliwardaz announces the findings from our investigation of 100 duplicate ballots, in which TWO…",[],18528,20,0.0,Neutral
"Statement by Donald J. Trump, The President of the United States

Full Video: https://t.co/EHqzsLbbJG https://t.co/Eu4IsLNsKD",[],92064,15,0.4215,Positive
RT @OANN: #TODAY: President Trump's legal team is set to hold a hearing in Mich. on election integrity. @OANN will provide full coverage st…,['TODAY'],14429,24,0.4767,Positive
"Will be going to Georgia for a big Trump Rally in support of our two great Republican Senators, David and Kelly. Th… https://t.co/D8mdDGrIRY",[],40722,23,0.7783,Positive
https://t.co/YjKjOzpYLp,[],28931,1,0.0,Neutral
https://t.co/sxF42xORin,[],33069,1,0.0,Neutral
"Thank you to @SenTomCotton for the really nice words on all we are doing, and have done. We will win!",[],36117,20,0.8653,Positive
RT @realDonaldTrump: https://t.co/zDkdRmLfvT,[],33928,3,0.0,Neutral
RT @realDonaldTrump: Pardon investigation is Fake News!,[],45025,7,-0.2714,Negative
"RT @PlaysTrumpCard: Without 1 shred of actual evidence that @realDonaldTrump did anything wrong, the DOJ went ballistic on him.
Did a Norma…",[],11714,22,-0.4767,Negative
Big voter fraud hearings today in the Great State of Michigan. This election is a far bigger scandal (FRAUD!) than… https://t.co/YBIfJHSPmC,[],50704,21,-0.8139,Negative
https://t.co/zDkdRmLfvT,[],33928,1,0.0,Neutral
https://t.co/dJniOejwqT,[],23719,1,0.0,Neutral
https://t.co/n0DrfZnPaX https://t.co/aSWsjTco31,[],33776,2,0.0,Neutral
https://t.co/YeK883gDRr,[],38637,1,0.0,Neutral
The Fake News refuses to report this! https://t.co/OvsdLJQL4u,[],30400,8,-0.5255,Negative
RT @Andrew_Havranek: The #Wisconsin Supreme Court has ordered @GovEvers to respond to President @realDonaldTrump / @TeamTrump's lawsuit fil…,['Wisconsin'],17071,18,0.4019,Positive
Pardon investigation is Fake News!,[],45025,5,-0.2714,Negative
Rigged Election. Show signatures and envelopes. Expose the massive voter fraud in Georgia. What is Secretary of Sta… https://t.co/00yLJ6AZj2,[],26953,19,-0.7845,Negative
Suppression Media! https://t.co/zYlVKeb7oK,[],33481,3,0.0,Neutral
"RT @MattBraynard: As I said on @LouDobbs, if the issues we raised are not resolved, the nation cannot have confidence that @JoeBiden is the…",[],14166,24,-0.4973,Negative
RT @LouDobbs: Illegal Votes: Former @realDonaldTrump data strategist @mattbraynard discovers thousands of illegally cast mail-in ballots an…,[],19410,17,-0.5574,Negative
".....Therefore, if the very dangerous &amp; unfair Section 230 is not completely terminated as part of the National Def… https://t.co/ZM5zkyaeAs",[],40517,20,-0.7755,Negative
"Section 230, which is a liability shielding gift from the U.S. to “Big Tech” (the only companies in America that ha… https://t.co/D5AvMSpso3",[],57937,22,0.2732,Positive
RT @CBS_Herridge: #Election2020results From a DOJ spokesperson: “Some media outlets have incorrectly reported that the Department has concl…,['Election2020results'],28403,18,0.0,Neutral
.@RealDrGina — Good luck on your new show tonight on @RealAmVoice at 7:00 P.M. Eastern. I know it will be a big hit! https://t.co/3g5fDYX6TR,[],14272,24,0.7345,Positive
"RT @RedState: Watch: James O'Keefe Calls Into CNN's Morning Conference Call, Tells Startled Jeff Zucker He's Going to Release Two Months of…",[],11523,22,-0.1779,Negative
"RT @SaraCarterDC: .@JamesOKeefeIII: We're going to release 'hundreds of hours of CNN' calls 7 pm ET Tonight.

Do any of you want to take a…",[],13245,25,0.0772,Positive
"RT @GreggJarrett: SURPRISE! James O’Keefe pops into CNN staff call, tells Jeff Zucker he’s been recording calls for months https://t.co/9GG…",[],13893,20,0.481,Positive
"RT @marklevinshow: James O’Keefe strikes again, CNN’s Zucker exposed with recorded phone calls. James will be on my radio show at 7:20 PM e…",[],13156,24,-0.4215,Negative
https://t.co/0FXHvfJ0c1,[],37317,1,0.0,Neutral
https://t.co/HOtVBv9Tfj,[],28957,1,0.0,Neutral
Jesse Morgan—a truck driver (subcontractor) with USPS in PENNSYLVANIA...https://t.co/EFxXZnQCUS,[],47090,9,0.0,Neutral
https://t.co/7DWi3pjdIr,[],35024,1,0.0,Neutral
https://t.co/vV8S7cqDvz,[],27225,1,0.0,Neutral
"LIVE NOW! Press Conference by Amistad Project: “Election Whistleblowers Come Forward”
https://t.co/Yjh1GsxGvS",[],27065,12,0.0,Neutral
Michigan voter fraud hearing going on now!,[],38143,7,-0.6239,Negative
Hope everybody is watching @OANN right now. Other media afraid to show. People are coming forward like never before… https://t.co/ldsUZWvGYZ,[],51550,20,0.6597,Positive
https://t.co/QjmZqNeJdt,[],30761,1,0.0,Neutral
https://t.co/IKBaWI68af,[],20509,1,0.0,Neutral
https://t.co/PypQRFKuWt,[],21193,1,0.0,Neutral
https://t.co/hhxUHKxwlE,[],22660,1,0.0,Neutral
https://t.co/hTRI4vYbY5,[],18097,1,0.0,Neutral
https://t.co/x2kNO9LYEO,[],17797,1,0.0,Neutral
https://t.co/a1kQRp7EzG,[],19167,1,0.0,Neutral
https://t.co/MLUbZv1OpN,[],17943,1,0.0,Neutral
https://t.co/uh11qAODPR,[],20932,1,0.0,Neutral
RT @RSBNetwork: Watch Live: Michigan State Senate Committee on Oversight Holds Hearing on Election Fraud https://t.co/zZSFP4H5IE,[],18406,16,-0.5859,Negative
https://t.co/yNZKyxHky1,[],25187,1,0.0,Neutral
https://t.co/7AEjFxJWeH,[],18409,1,0.0,Neutral
https://t.co/wNKLOhse2v,[],17260,1,0.0,Neutral
"“The president was RIGHT when he said get the kids back in school—Now Dr. Fauci says, 'You know what, I'm looking a… https://t.co/npPbNBwku3",[],22765,23,0.0,Neutral
RT @Bubblebathgirl: Why is Doug Ducey still pretending he’s a member of the Republican Party after he just certified fraudulent election re…,[],11700,22,-0.0258,Neutral
Do something @BrianKempGA. You allowed your state to be scammed. We must check signatures and count signed envelope… https://t.co/lRXiK2AdG4,[],29107,19,0.0,Neutral
We won Michigan by a lot! https://t.co/D6inAewQxP,[],39198,7,0.6114,Positive
Impossible result! https://t.co/QDaxamGs3p,[],31189,3,0.0,Neutral
"Fake election results in Nevada, also! https://t.co/l8MDOSlqQ7",[],26756,7,-0.5255,Negative
RT @Henryhooddavis: THE QUESTION IS??? https://t.co/9gDdGraWAH,[],14447,6,0.0,Neutral
Disgraceful! https://t.co/t0epa2ItFm,[],34864,2,0.0,Neutral
"RT @TheRightMelissa: Fake media preys on ignorance of how election process works

Certifications are just clerical &amp; not legally binding..…",[],9696,20,-0.7092,Negative
